	count	mean	std	min	25%	50%	75%	max
dong_xe_Hummer	41601.0	2.4037883704718638e-05	0.004902844450389859	0.0	0.0	0.0	0.0	1.0
dong_xe_Hunter	41601.0	9.615153481887455e-05	0.00980533532389177	0.0	0.0	0.0	0.0	1.0
dong_xe_Huracan	41601.0	4.8075767409437276e-05	0.006933585778076987	0.0	0.0	0.0	0.0	1.0
dong_xe_I10	41601.0	0.020191822311963654	0.14065769869906206	0.0	0.0	0.0	0.0	1.0
dong_xe_I20	41601.0	0.002523977788995457	0.05017636739066477	0.0	0.0	0.0	0.0	1.0
dong_xe_I3	41601.0	2.4037883704718638e-05	0.00490284445038986	0.0	0.0	0.0	0.0	1.0
dong_xe_I30	41601.0	0.0017307276267397417	0.04156649781550074	0.0	0.0	0.0	0.0	1.0
dong_xe_I8	41601.0	4.8075767409437276e-05	0.0069335857780769864	0.0	0.0	0.0	0.0	1.0
dong_xe_IS	41601.0	0.0005528713252085286	0.02350699770992928	0.0	0.0	0.0	0.0	1.0
dong_xe_Innova	41601.0	0.057522655705391695	0.23284136875205758	0.0	0.0	0.0	0.0	1.0
dong_xe_Istana	41601.0	2.4037883704718638e-05	0.004902844450389859	0.0	0.0	0.0	0.0	1.0
dong_xe_Jazz	41601.0	0.0012740078363500877	0.03567093111420909	0.0	0.0	0.0	0.0	1.0
